,name,pauses
16,E,0.0
17,=,0.4579999999999984
80,1,0.45300000000000296
81,/,0.16599999999999682
82,2,0.2699999999999818
19,m,0.4379999999999882
83,v,0.542999999999978
84,2,0.396000000000015
